Device,Test Name,Test Status,Message(s),Test description,Test category
campus-leaf4,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-leaf4,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-leaf4,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-leaf4,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-leaf4,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-leaf4,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-leaf4,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-leaf4,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-leaf4,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-leaf4,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-leaf4,VerifyNTP,success,,Verifies if NTP is synchronised.,System
campus-leaf4,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-spine1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
campus-spine1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-spine1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-spine1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-spine1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-spine1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-spine1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-spine1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
campus-spine1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-spine1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
campus-spine1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-spine1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-spine1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-spine1,VerifyOSPFMaxLSA,success,,Verifies all OSPF instances did not cross the maximum LSA threshold.,OSPF
campus-spine1,VerifyOSPFNeighborState,success,,Verifies all OSPF neighbors are in FULL state.,OSPF
campus-spine1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-spine1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-spine1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-spine1,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-spine1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-spine1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-spine1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-spine1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
campus-spine1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-spine2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
campus-spine2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-spine2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-spine2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-spine2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-spine2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-spine2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-spine2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-spine2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
